grb,time _ut_,trigger number,bat ra _j2000_,bat dec _j2000_,bat 90_ error radius _arcmin_,bat t90 _sec_,bat fluence _15_150 kev_ _10__7 erg_cm_2_,bat fluence 90_ error _15_150 kev_ _10__7 erg_cm_2_,bat 1_sec peak photon flux _15_150 kev_ _ph_cm_2_sec_,bat 1_sec peak photon flux 90_ error _15_150 kev_ _ph_cm_2_sec_,bat photon index _15_150 kev_ _pl _ simple power_law_ cpl _ cutoff power_law_,bat photon index 90_ error _15_150 kev_,hardness ratio,epeak,satellite_source,grb_class
210527A,07:07:48,1051453,172.346,31.627,1.8,63.21,6.5,1.0,0.4,0.1,"2.33, PL",0.26,0.193977,0.0,Swift BAT,
210517A,05:28:01,1048783,358.19,-39.104,2.0,3.06,1.5,0.3,1.5,0.2,"1.85, PL",0.25,0.34049097,0.0,Swift BAT,
210515C,20:02:01,1048618,1.106,-14.972,2.0,55.7,5.9,1.1,0.6,0.2,"1.26, PL",0.28,0.6759763,0.0,Swift BAT,
210514A,18:23:47,1048372,2.947,-21.898,1.0,70.21,74,2.0,8.7,0.4,"1.65, PL",0.04,0.42992243,0.0,Swift BAT,
210509A,14:32:20,1047531,350.363,6.65,1.5,8.22,3.1,0.4,1.2,0.2,"0.76, CPL",1.00,1.2021959,276.0,Swift BAT,
210504A,13:54:53,1046782,222.379,-30.557,2.1,135.06,27,2.0,0.9,0.2,"1.64, PL",0.13,0.4349564,0.0,Swift BAT,
210430A,10:42:10,1046014,57.185,45.08,1.7,11.53,9.9,1.3,1.9,0.4,"2.15, PL",0.21,0.23965424,0.0,Swift BAT,
210422A,17:47:10,1044678,21.077,42.1,2.1,39.00,7.2,1.1,1.3,0.2,"1.70, PL",0.22,0.4056016,0.0,Swift BAT,
210421A,00:27:30,1044426,104.882,4.928,1.2,79.52,20,2.0,2.0,0.3,"1.10, CPL",0.72,0.8131747,310.0,Swift BAT,
210420B,18:34:37,1044382,254.313,42.558,2.1,158.8,15,2.0,0.5,0.2,"1.49, PL",0.19,0.51782054,0.0,Swift BAT,
210419C,23:27:49,1044236,212.969,36.011,2.1,73.00,8.1,1.2,0.8,0.2,"2.50, PL",0.27,0.15878503,0.0,Swift BAT,
210419A,06:53:41,1044032,86.912,-65.452,2.7,64.43,7.8,1.2,0.6,0.2,"2.17, PL",0.24,0.23409536,0.0,Swift BAT,
210411C,15:05:51,1042398,296.601,-39.399,1.0,12.80,12,1.0,4.8,0.3,"1.60, CPL",0.40,0.45567983,360.0,Swift BAT,
210410A,00:53:16,1042113,269.741,45.359,1.0,52.88,56,2.0,4.0,0.3,"1.04, PL",0.06,0.87140644,0.0,Swift BAT,
210403A,08:27:13,1040345,2.813,-33.024,2.6,168.3,27,2.0,1.1,0.2,"0.92, CPL",0.52,1.0004599,292.0,Swift BAT,
210323A,22:02:18,1038247,317.945,25.352,1.4,1.12,2.4,0.3,2.9,0.3,"1.46, PL",0.17,0.53617084,0.0,Swift BAT,
210321A,07:13:51,1037828,87.887,70.109,1.6,8.21,6.7,0.8,1.7,0.4,"2.15, PL",0.20,0.23965424,0.0,Swift BAT,
210318B,03:08:33,1037335,264.228,-35.823,1.0,14.95,100,2.0,14.5,0.4,"1.10, CPL",0.13,0.8131747,310.0,Swift BAT,
210318A,03:54:31,1037339,33.892,-37.755,2.9,48.00,6.4,1.3,0.3,0.3,"1.48, PL",0.33,0.5238675,0.0,Swift BAT,
210308A,06:37:56,1036227,67.083,37.429,1.0,5.3,32,1.0,13.6,0.7,"0.76, CPL",0.28,1.2021959,276.0,Swift BAT,
210307A,08:42:38,1036139,119.244,-66.965,2.1,262,28,3.0,1.0,0.2,"1.56, PL",0.16,0.47737595,0.0,Swift BAT,
210306B,09:32:14,1036024,331.813,10.152,1.9,24.32,17,2.0,2.4,0.5,"1.38, PL",0.20,0.588296,0.0,Swift BAT,
210306A,03:53:57,1035994,129.964,60.203,1.0,9.12,57,1.0,20.9,0.7,"1.16, CPL",0.19,0.7587793,316.0,Swift BAT,
210305A,19:03:04,1035922,319.808,34.548,1.0,68.6,71,2.0,3.4,0.3,"0.93, CPL",0.19,0.98902273,293.0,Swift BAT,
210226A,04:43:57,1034721,124.153,57.585,1.5,20.80,12,1.0,2.8,0.3,"1.44, PL",0.15,0.5487588,0.0,Swift BAT,
210222B,22:37:26,1034325,154.631,-14.946,2.0,12.82,3.4,0.7,1.4,0.3,"2.37, PL",0.33,0.18505947,0.0,Swift BAT,
210218A,13:35:19,1033328,47.318,35.322,1.4,240,43,3.0,1.0,0.2,"0.77, CPL",0.49,1.1884907,277.0,Swift BAT,
210217A,23:25:42,1033264,97.578,68.715,1.4,4.22,6.8,0.7,5.1,0.5,"2.01, PL",0.16,0.2823888,0.0,Swift BAT,
210212A,04:25:18,1032183,72.249,7.215,1.9,80.0,8.0,1.2,0.5,0.1,"1.85, PL",0.23,0.34049097,0.0,Swift BAT,
210211A,08:43:18,1032024,269.408,-46.27,1.4,6.1,4.2,0.4,1.0,0.2,"1.09, PL",0.16,0.8226067,0.0,Swift BAT,
210210A,02:00:27,1031728,262.764,14.657,1.0,6.60,9.8,0.8,7.0,0.5,"1.53, CPL",0.58,0.4943132,353.0,Swift BAT,
210209A,21:39:44,1031636,328.097,43.545,1.6,139.4,24,2.0,0.6,0.2,"1.52, PL",0.12,0.5000895,0.0,Swift BAT,
210207B,21:52:08,1031297,270.614,53.7,1.4,95.69,43,2.0,3.1,0.2,"1.20, PL",0.07,0.72452325,0.0,Swift BAT,
210205A,11:11:17,1030629,347.264,56.311,2.1,22.70,8.7,1.6,1.6,0.5,"2.27, PL",0.31,0.2081554,0.0,Swift BAT,
210119A,02:54:09,1017711,282.822,-61.767,1.5,0.06,0.71,0.09,1.0,0.2,"1.41, PL",0.22,0.5681886,0.0,Swift BAT,
210112A,01:37:03,1016881,219.005,33.058,1.2,107.60,233,3.0,20.5,0.6,"1.45, PL",0.03,0.5424288,0.0,Swift BAT,
210104B,21:10:10,1015919,53.561,37.951,1.7,19.94,12,1.0,1.9,0.3,"1.83, PL",0.14,0.3485368,0.0,Swift BAT,
210104A,11:26:59,1015873,103.771,64.675,1.0,32.06,88,2.0,12.1,0.4,"1.55, PL",0.04,0.48295715,0.0,Swift BAT,
210102C,20:38:11,1015728,235.747,-37.231,1.0,87.25,39,2.0,4.4,0.3,"1.87, PL",0.08,0.3326284,0.0,Swift BAT,
201229A,10:59:30,1015088,210.692,48.209,2.6,53.3,13,2.0,1.7,0.4,"1.40, PL",0.29,0.5748147,0.0,Swift BAT,
201223A,17:58:26,1014316,132.735,71.176,1.4,29.0,13,1.0,1.5,0.2,"1.35, PL",0.13,0.609104,0.0,Swift BAT,
201221D,23:06:34,1014037,171.055,42.152,1.3,0.16,3.9,0.4,5.6,0.5,"1.56, PL",0.13,0.47737595,0.0,Swift BAT,
201221A,07:09:01,1013852,214.488,-45.406,1.6,44.5,18,2.0,1.0,0.3,"1.40, PL",0.15,0.5748147,0.0,Swift BAT,
201216C,23:07:31,1013243,16.364,16.538,1.0,48.0,450,10.0,18.0,1.1,"1.43, PL",0.03,0.55516154,0.0,Swift BAT,
201209A,05:44:52,1011980,23.096,-1.762,1.1,48.0,140,10.0,12.2,1.1,"1.56, PL",0.06,0.47737595,0.0,Swift BAT,
201203A,06:52:27,1010946,38.055,-26.505,1.9,12.18,2.9,0.5,0.5,0.1,"1.78, PL",0.26,0.36948106,0.0,Swift BAT,
201128A,06:27:58,1009679,223.091,26.716,2.4,5.41,2.0,0.4,0.4,0.2,"1.37, PL",0.37,0.595153,0.0,Swift BAT,
201105A,05:31:10,1004239,245.61,12.734,1.0,33.82,120,2.0,13.9,0.5,"1.08, PL",0.03,0.8321463,0.0,Swift BAT,
201104B,17:33:46,1004168,5.215,7.834,1.0,8.66,18,1.0,4.1,0.3,"1.47, PL",0.07,0.52998394,0.0,Swift BAT,
201029A,20:19:50,1003002,229.607,44.473,2.0,120.55,22,1.0,0.6,0.1,"1.09, PL",0.11,0.8226067,0.0,Swift BAT,
201027A,01:07:44,1002158,155.954,-5.499,1.9,546.73,0.0,0.0,1.4,0.3,"1.50, PL",0.00,0.5118424,0.0,Swift BAT,
201026A,22:37:34,1002103,196.696,83.807,1.2,135.38,56,2.0,2.2,0.3,"1.94, PL",0.09,0.3064944,0.0,Swift BAT,
201024A,02:48:59,1001514,125.959,3.357,1.6,5.00,8.1,0.9,3.7,0.6,"2.10, PL",0.18,0.25412822,0.0,Swift BAT,
201021C,20:27:18,1001130,12.503,-55.862,1.3,24.38,10,1.0,1.0,0.2,"1.63, PL",0.15,0.44004846,0.0,Swift BAT,
201020A,05:47:26,1000926,261.239,31.428,1.2,14.17,9.2,0.7,2.1,0.2,"2.25, PL",0.14,0.2131054,0.0,Swift BAT,
201017A,09:46:31,1000613,36.587,66.663,2.3,22.08,9.0,1.4,1.8,0.4,"1.45, PL",0.25,0.5424288,0.0,Swift BAT,
201015A,22:50:13,1000452,354.31,53.446,2.9,9.78,2.0,0.6,1.8,0.4,"3.03, PL",0.68,0.08483942,0.0,Swift BAT,
201014A,22:48:38,1000255,20.834,27.722,2.5,36.2,3.1,0.7,0.3,0.2,"2.55, PL",0.37,0.14969322,0.0,Swift BAT,
201013A,03:46:30,999948,107.392,57.031,1.0,7.36,67,1.0,24.6,0.7,"1.22, PL",0.04,0.7079711,0.0,Swift BAT,
201006A,01:17:52,998907,61.917,65.148,2.1,0.49,1.3,0.2,2.2,0.3,"1.42, PL",0.24,0.5616379,0.0,Swift BAT,
201001A,09:58:51,998344,110.05,-2.213,1.9,15.2,7.6,1.1,1.0,0.3,"0.96, PL",0.23,0.95547813,0.0,Swift BAT,
200925B,21:50:37,997453,246.892,78.393,1.2,18.25,10,1.0,3.0,0.3,"2.01, PL",0.14,0.2823888,0.0,Swift BAT,
200922A,12:06:46,997024,296.954,-55.199,1.0,10.30,28,1.0,11.4,0.5,"1.43, CPL",0.26,0.55516154,343.0,Swift BAT,
200919A,01:52:20,996503,168.899,32.456,1.3,76.0,18,2.0,1.2,0.2,"2.13, PL",0.14,0.24534345,0.0,Swift BAT,
200917A,03:52:28,996184,235.742,-4.695,2.0,19.4,3.0,0.6,0.6,0.2,"2.24, PL",0.31,0.21562384,0.0,Swift BAT,
200909B,23:17:10,995288,175.171,-31.199,1.4,16.9,12,1.0,1.3,0.3,"1.60, PL",0.14,0.45567983,0.0,Swift BAT,
200907B,18:51:11,995004,89.019,6.905,1.8,0.83,1.6,0.2,1.5,0.2,"0.68, PL",0.25,1.3175869,0.0,Swift BAT,
200906A,13:11:04,994856,272.284,67.887,1.4,70.90,28,1.0,2.5,0.2,"2.00, PL",0.09,0.2857143,0.0,Swift BAT,
200903A,00:44:22,994389,164.313,50.488,1.0,24.15,28,1.0,3.8,0.3,"1.15, CPL",0.28,0.76758957,315.0,Swift BAT,
200901B,07:09:26,994165,217.86,-38.704,3.0,705.94,43,4.0,0.4,0.2,"0.95, CPL",0.63,0.96653324,295.0,Swift BAT,
200901A,03:47:31,994143,61.759,-59.901,1.1,20.37,29,2.0,7.7,0.6,"1.72, PL",0.11,0.39625767,0.0,Swift BAT,
200829A,13:59:34,993768,251.136,72.363,1.8,13.04,510,10.0,98.7,1.6,"0.83, PL",0.03,1.1094328,0.0,Swift BAT,
200819A,15:43:52,992099,21.527,63.061,2.1,23.62,3.2,0.6,0.6,0.1,"2.08, PL",0.31,0.26015654,0.0,Swift BAT,
200806A,15:28:49,987016,52.933,37.076,1.0,38.8,10,2.0,12.1,0.4,"0.72, CPL",0.12,1.2585897,272.0,Swift BAT,
200729A,19:38:05,984929,184.36,45.571,2.3,122.0,16,2.0,0.7,0.3,"0.96, PL",0.27,0.95547813,0.0,Swift BAT,
200716C,22:57:41,982707,196.011,29.636,1.0,86,36,2.0,10.7,0.5,"1.65, PL",0.09,0.42992243,0.0,Swift BAT,
200713A,11:42:54,982201,76.941,-32.846,2.8,48.98,9.0,1.6,0.8,0.3,"2.48, PL",0.32,0.16257283,0.0,Swift BAT,
200711A,11:04:36,981957,285.975,-0.134,1.4,29.39,53,3.0,7.7,1.0,"1.42, PL",0.10,0.5616379,0.0,Swift BAT,
200701A,12:46:59,980421,123.563,-14.553,1.7,38.9,9.3,1.0,0.7,0.2,"1.91, PL",0.16,0.31743684,0.0,Swift BAT,
200630A,01:49:34,980210,91.389,-60.779,1.9,14.83,4.7,0.7,1.4,0.2,"1.64, PL",0.24,0.4349564,0.0,Swift BAT,
200612A,04:39:37,977310,302.691,-45.354,1.5,171.48,38,2.0,0.7,0.2,"1.34, PL",0.09,0.61619985,0.0,Swift BAT,
200608A,17:28:38,976692,309.628,-31.194,2.3,119.2,15,2.0,0.7,0.3,"2.05, PL",0.22,0.26946473,0.0,Swift BAT,
200529A,00:56:35,974942,238.756,-11.076,1.2,79.57,32,2.0,1.8,0.3,"1.89, PL",0.10,0.32494506,0.0,Swift BAT,
200528A,10:27:23,974827,176.637,58.185,1.0,58.7,180,0.0,17.5,0.5,"1.62, CPL",0.14,0.44519925,362.0,Swift BAT,
200522A,11:41:34,973628,5.668,-0.264,1.6,0.62,1.1,0.1,1.5,0.2,"1.45, PL",0.17,0.5424288,0.0,Swift BAT,
200519A,11:20:23,973140,255.319,-30.393,1.0,71.88,120,2.0,20.6,0.5,"1.42, PL",0.03,0.5616379,0.0,Swift BAT,
200512A,20:33:15,971846,7.417,-2.217,1.5,74.0,8.1,1.0,0.4,0.1,"1.68, PL",0.18,0.41516268,0.0,Swift BAT,
200509A,06:47:17,970886,116.415,-4.634,1.7,828.2,73,4.0,1.5,0.2,"1.67, PL",0.09,0.4200262,0.0,Swift BAT,
200425A,00:16:21,967774,85.217,-13.399,2.0,81.0,12,2.0,0.7,0.2,"1.30, PL",0.21,0.64540666,0.0,Swift BAT,
200416A,07:05:17,966554,335.691,-7.525,1.4,5.04,8.7,0.8,3.8,0.5,"1.76, PL",0.15,0.3782021,0.0,Swift BAT,
200411A,04:29:02,965784,47.686,-52.32,1.6,0.22,0.86,0.11,1.1,0.2,"0.95, PL",0.19,0.96653324,0.0,Swift BAT,
200410A,02:25:10,965638,299.644,51.745,2.9,108.8,12,2.0,1.8,0.3,"1.41, PL",0.31,0.5681886,0.0,Swift BAT,
200409A,03:19:59,965484,60.555,-50.243,2.7,17.91,2.3,0.6,1.2,0.2,"2.14, PL",0.44,0.24248236,0.0,Swift BAT,
200306C,22:50:39,960102,198.577,11.263,1.3,53.5,28,2.0,1.3,0.3,"0.83, PL",0.12,1.1094328,0.0,Swift BAT,
200306A,00:19:40,959917,101.114,-62.01,1.0,32.87,100,2.0,7.0,0.3,"1.06, CPL",0.15,0.85155356,306.0,Swift BAT,
200303A,02:34:57,959431,212.695,51.358,1.0,94.2,130,0.0,5.0,0.3,"1.39, PL",0.17,0.58151686,0.0,Swift BAT,
200228B,11:14:41,958733,252.007,16.964,2.5,7.37,3.0,0.6,1.0,0.4,"2.27, PL",0.36,0.2081554,0.0,Swift BAT,
200227A,07:20:08,958592,56.433,9.489,1.0,32.8,71,2.0,5.7,0.4,"1.15, CPL",0.19,0.76758957,315.0,Swift BAT,
200224A,03:24:49,958141,248.743,41.666,3.5,45.0,2.9,0.9,0.4,0.1,"1.69, PL",0.51,0.41035467,0.0,Swift BAT,
200219A,07:36:49,957271,342.595,-59.101,2.4,288.0,7.4,1.1,2.4,0.2,"1.47, PL",0.25,0.52998394,0.0,Swift BAT,
200216B,13:32:33,956824,160.452,19.468,1.0,81.3,16,1.0,1.5,0.2,"0.81, CPL",0.52,1.1351923,281.0,Swift BAT,
200215A,14:39:31,956639,34.1,12.775,1.0,11.7,11,1.0,2.7,0.2,"1.41, PL",0.09,0.5681886,0.0,Swift BAT,
200205B,19:21:43,954519|954520,107.76,-56.488,1.8,458.0,54,2.0,2.0,0.2,"1.36, CPL",0.22,0.6020887,336.0,Swift BAT,
200131A,22:41:15,953689,3.067,51.121,1.2,32.74,70,1.0,26.9,0.6,"1.32, PL",0.04,0.6306367,0.0,Swift BAT,
200127A,14:44:31,952791,295.206,44.934,2.4,216.9,24,3.0,0.7,0.2,"1.64, PL",0.19,0.4349564,0.0,Swift BAT,
200125A,11:31:39,952164,228.069,-8.142,1.8,350.83,87,4.0,4.0,0.2,"1.95, PL",0.08,0.30293033,0.0,Swift BAT,
200122A,01:41:00,950330,210.01,27.548,1.0,174.96,110,3.0,9.1,0.4,"1.60, PL",0.05,0.45567983,0.0,Swift BAT,
200115A,11:50:23,949361,56.453,5.607,1.1,158.4,100,0.0,3.6,0.3,"1.29, CPL",0.24,0.65291893,329.0,Swift BAT,
200109A,01:46:16,948361,307.116,52.988,1.2,112.0,21,2.0,0.7,0.2,"1.31, PL",0.14,0.63797957,0.0,Swift BAT,
200107B,19:26:28,948219,107.067,-83.716,1.2,86.68,30,2.0,1.9,0.2,"1.41, PL",0.10,0.5681886,0.0,Swift BAT,
191228A,00:01:19,946476,5.341,-8.65,2.4,166.9,20,2.0,0.6,0.2,"2.06, PL",0.14,0.26632604,0.0,Swift BAT,
191227A,01:39:37,946344,319.172,-16.717,1.2,58.5,250,10.0,21.8,1.3,"1.30, PL",0.05,0.64540666,0.0,Swift BAT,
191221B,20:39:13,945521,154.831,-38.152,1.1,48.00,190,10.0,4.8,0.7,"1.24, PL",0.05,0.69179153,0.0,Swift BAT,
191220A,13:29:37,945344,281.335,26.679,3.0,175.55,11,3.0,1.1,0.4,"2.12, PL",0.40,0.24823786,0.0,Swift BAT,
191218A,02:42:43,944916,301.07,-40.277,1.4,44.67,78,4.0,6.3,0.9,"1.12, PL",0.10,0.79462934,0.0,Swift BAT,
191130A,13:05:02,Ground Analysis,133.137,5.017,1.7,17.6,6.86,0.6,1.1,0.2,"1.95, PL",0.13,0.30293033,0.0,Swift BAT,
191123A,10:38:44,939079,215.289,22.823,2.2,275.1,12,2.0,1.2,0.2,"1.67, PL",0.25,0.4200262,0.0,Swift BAT,
191122A,13:32:56,938899,54.29,-32.176,1.0,153.3,66,3.0,3.1,0.4,"1.24, CPL",0.28,0.69179153,324.0,Swift BAT,
191106A,14:15:23,933515,269.356,46.046,1.7,3.42,3.2,0.3,1.1,0.2,"0.89, PL",0.17,1.0355586,0.0,Swift BAT,
191101A,21:08:03,932742,251.845,43.74,1.7,137.95,19,2.0,1.3,0.3,"1.78, PL",0.18,0.36948106,0.0,Swift BAT,
191031D,21:23:31,932608,283.269,47.645,1.4,0.29,4.1,0.4,4.3,0.4,"0.80, PL",0.15,1.148292,0.0,Swift BAT,
191031C,18:43:54,932595,115.88,-62.322,1.3,93.2,72,3.0,4.6,0.5,"1.60, PL",0.07,0.45567983,0.0,Swift BAT,
191031A,00:36:33,932435,233.49,6.109,2.0,19.1,9.0,1.1,1.0,0.2,"1.38, PL",0.19,0.588296,0.0,Swift BAT,
191029A,11:15:20,932058,352.14,-40.464,1.8,39.5,11,1.0,1.1,0.3,"1.77, PL",0.21,0.3738165,0.0,Swift BAT,
191024A,04:42:52,931242,10.129,-67.138,1.3,7.08,4.7,0.4,1.6,0.2,"1.78, PL",0.14,0.36948106,0.0,Swift BAT,
191019A,15:12:33,930285,340.035,-17.34,1.0,64.35,100,3.0,5.7,0.4,"2.25, PL",0.05,0.2131054,0.0,Swift BAT,
191017B,14:36:06,929981,245.131,-73.583,1.8,5.95,5.6,0.7,1.9,0.3,"1.82, PL",0.20,0.35262975,0.0,Swift BAT,
191016A,04:09:00,929744,30.268,24.508,1.5,219.70,65,4.0,1.5,0.2,"1.55, PL",0.09,0.48295715,0.0,Swift BAT,
191011A,04:35:56,928924,44.729,-27.853,1.5,7.37,3.3,0.4,1.8,0.2,"1.94, PL",0.17,0.3064944,0.0,Swift BAT,
191004B,21:33:41,927839,49.2,-39.637,1.0,37.7,25,1.0,5.0,0.2,"1.10, PL",0.08,0.8131747,0.0,Swift BAT,
191004A,18:07:02,927825,31.716,-36.932,1.1,2.44,13,1.0,7.8,0.5,"1.35, PL",0.08,0.609104,0.0,Swift BAT,
191001B,17:19:20,927345,86.423,-15.88,3.6,108.9,46,3.0,1.8,0.4,"1.58, PL",0.11,0.46640354,0.0,Swift BAT,
190926A,09:52:16,926515,100.616,59.531,2.3,368.9,25,2.0,0.6,0.2,"2.14, PL",0.18,0.24248236,0.0,Swift BAT,
190829A,19:56:44.60,922968,44.542,-8.958,1.9,58.2,64,7.0,18.0,2.7,"2.56, PL",0.21,0.14793764,0.0,Swift BAT,
190828B,12:59:59.42,922808,251.838,27.287,1.0,66.6,42,2.0,2.3,0.2,"1.29, PL",0.07,0.65291893,0.0,Swift BAT,
190824A,14:46:39,922107,215.323,-41.9,1.7,169.4,85,4.0,5.0,0.5,"1.62, PL",0.08,0.44519925,0.0,Swift BAT,
190821A,17:10:03,921722,250.07,-34.027,1.3,57.1,24,1.0,2.8,0.3,"2.03, PL",0.10,0.27585205,0.0,Swift BAT,
190816A,14:42:24,920783,341.183,-29.745,1.7,375.0,98,6.0,1.3,0.3,"1.62, PL",0.11,0.44519925,0.0,Swift BAT,
190727B,20:18:17,916733,126.5,-13.272,1.0,40.14,180,3.0,20.9,0.7,"1.41, PL",0.03,0.5681886,0.0,Swift BAT,
190719C,14:58:34,915381,240.208,13.005,1.2,185.7,51,3.0,5.5,0.3,"1.64, PL",0.09,0.4349564,0.0,Swift BAT,
190718A,04:41:15,915091,336.605,-41.184,2.4,720.0,3.6,0.6,1.0,0.2,"1.38, PL",0.26,0.588296,0.0,Swift BAT,
190706B,12:40:50,913302,107.443,-29.575,2.2,25.16,5.8,0.9,1.4,0.2,"1.90, PL",0.23,0.3211693,0.0,Swift BAT,
190701A,09:45:20,912310,28.131,58.899,2.4,52.4,8.7,1.5,1.2,0.3,"1.91, PL",0.27,0.31743684,0.0,Swift BAT,
190630C,23:52:59,912239,293.89,-32.759,1.1,38.4,23,2.0,2.0,0.3,"1.96, PL",0.11,0.29940712,0.0,Swift BAT,
190630B,06:02:08,912102,223.729,41.528,2.0,5.6,2.8,0.4,1.1,0.2,"1.36, PL",0.24,0.6020887,0.0,Swift BAT,
190627A,11:18:31,911609,244.843,-5.302,2.7,1.60,0.99,0.22,1.1,0.3,"2.38, PL",0.38,0.18289417,0.0,Swift BAT,
190613B,10:47:02,908329,305.434,-4.655,1.9,160.84,23,3.0,5.7,0.7,"1.84, PL",0.24,0.3444907,0.0,Swift BAT,
190613A,04:07:18,908288,182.552,67.244,2.2,17.6,17,3.0,1.5,0.7,"1.22, PL",0.26,0.7079711,0.0,Swift BAT,
190611A,17:49:01,907950,324.689,-56.07,3.0,41.8,4.6,1.6,0.9,0.3,"1.88, PL",0.54,0.3287646,0.0,Swift BAT,
190610A,11:27:45,907754,46.244,-7.66,1.9,0.62,4.1,0.5,3.9,0.5,"0.32, PL",0.27,1.9870936,0.0,Swift BAT,
190604B,14:57:15,906654,297.546,-32.975,1.0,220.2,177,4.0,7.3,0.4,"1.81,PL",0.04,0.3567701,0.0,Swift BAT,
190519A,07:25:39,904394,114.758,-38.813,1.7,45.58,180,10.0,20.6,1.7,"1.32, CPL",0.24,0.6306367,332.0,Swift BAT,
190515B,16:04:21,903845,98.826,52.322,1.5,46.4,16,1.0,1.1,0.2,"1.74, PL",0.15,0.3871261,0.0,Swift BAT,
190512A,14:40:09,903357,82.402,-7.582,2.9,40.1,13,1.0,1.0,0.2,"2.07, PL",0.14,0.26322344,0.0,Swift BAT,
190511A,07:14:48,903158,126.443,-20.252,1.5,27.7,74,5.0,6.2,1.2,"1.19, PL",p.10,0.7329417,0.0,Swift BAT,
190427A,04:34:15,900730,280.217,40.304,2.4,0.3,1.3,0.2,1.6,0.3,"1.17, PL",0.21,0.7500686,0.0,Swift BAT,
190424A,10:00:43,900285,48.693,20.239,1.4,10.6,12,1.0,2.0,0.3,"1.45, PL",0.13,0.5424288,0.0,Swift BAT,
190331A,02:14:37.50,895813,28.573,27.635,1.4,4.3,4.5,0.4,2.8,0.2,"1.24, PL",0.15,0.69179153,0.0,Swift BAT,
190326A,07:35:28,895006,341.652,39.914,1.6,0.08,0.63,0.08,1.55,0.3,"-0.76, CPL",0.92,6.7216935,124.0,Swift BAT,
190324A,22:44:01,894718,49.603,-47.212,1.0,28.4,72,2.0,11.9,0.5,"1.46, PL",0.06,0.53617084,0.0,Swift BAT,
190320A,01:14:36,893808,117.824,-45.876,1.9,64.0,27,3.0,1.3,0.5,"1.20, PL",0.20,0.72452325,0.0,Swift BAT,
190311A,14:23:33,892607,212.067,53.486,1.3,17.0,9.1,0.9,1.8,0.3,"1.80, PL",0.17,0.36095843,0.0,Swift BAT,
190220A,02:59:34,889785,330.128,-76.669,1.3,10.0,8.9,1.0,2.6,0.4,"0.79, CPL",0.77,1.1615405,279.0,Swift BAT,
190219A,19:38:58,889748,189.686,76.606,1.6,167.8,39,2.0,1.9,0.2,"2.24, PL",0.10,0.21562384,0.0,Swift BAT,
190211A,16:54:44,888648,196.652,41.976,2.3,12.48,6.5,1.2,1.9,0.4,"1.51, PL",0.33,0.50593233,0.0,Swift BAT,
190204A,05:46:01,887579|887580,351.491,54.884,1.0,26.4,130,3.0,30.5,0.9,"1.30, PL",0.04,0.64540666,0.0,Swift BAT,
190203A,15:44:08,887512,22.603,55.736,1.0,96,150,5.0,3.1,0.6,"1.06, PL",0.06,0.85155356,0.0,Swift BAT,
190202A,01:39:30,887217,166.506,9.393,1.9,19.4,60,5.0,7.8,1.5,"1.32, PL",0.13,0.6306367,0.0,Swift BAT,
190123A,12:19:13,885314,53.175,45.505,1.7,24.4,8.4,1.1,1.0,0.2,"1.13, PL",0.23,0.7855134,0.0,Swift BAT,
190114C,20:57:03,883832,54.503,-26.938,1.0,361.5,830,10.0,101.0,1.5,"1.43, PL",0.02,0.55516154,0.0,Swift BAT,
190114B,19:31:12,883818,174.868,18.882,2.3,26.5,5.1,1.0,0.5,0.2,"1.98, PL",0.28,0.29248163,0.0,Swift BAT,
190114A,03:10:49,883600,65.543,2.196,1.7,66.6,8.0,1.2,0.5,0.2,"2.06, PL",0.22,0.26632604,0.0,Swift BAT,
190110A,17:24:48,883012,276.939,-53.643,1.0,9.3,25,1.0,9.0,0.5,"1.66, PL",0.07,0.42494592,0.0,Swift BAT,
190109B,11:56:09,882809,55.563,63.592,1.4,5.92,4.8,0.5,1.7,0.2,"1.58, PL",0.16,0.46640354,0.0,Swift BAT,
190109A,05:12:41,882747,33.213,38.111,1.0,115.0,55,3.0,1.9,0.3,"0.36, CPL",0.47,1.8986535,236.0,Swift BAT,
190106A,13:34:44,882252,29.877,23.839,1.0,76.8,60,2.0,5.5,0.3,"1.43, CPL",0.21,0.55516154,343.0,Swift BAT,
190103B,21:03:51,881709,212.561,35.254,1.3,19.5,120,10.0,16.3,1.5,"0.99, CPL",0.29,0.92305446,299.0,Swift BAT,
181228A,02:53:17,879909,49.831,13.212,1.0,257.3,100,3.0,9.5,0.5,"1.45, PL",0.06,0.5424288,0.0,Swift BAT,
181224A,13:36:51,878911,125.949,6.194,1.9,12.5,4.9,0.6,1.0,0.2,"1.27, PL",0.20,0.66820276,0.0,Swift BAT,
181213A,12:57:38,876016,248.21,78.5,1.9,15.31,15,2.0,2.1,0.6,"1.57, PL",0.20,0.47185832,0.0,Swift BAT,
181203A,12:08:47,874475,108.341,-39.783,1.3,15.30,7.8,0.7,1.1,0.2,"1.79, PL",0.15,0.3651952,0.0,Swift BAT,
181202A,06:36:24,874334,280.737,27.976,2.0,6.56,2.5,0.4,0.9,0.2,"1.61, PL",0.24,0.4504095,0.0,Swift BAT,
181126A,09:54:08,873539,152.35,-29.698,1.5,2.09,3.1,0.4,2.7,0.3,"-0.13, CPL",0.75,3.309592,187.0,Swift BAT,
