grb,time _ut_,trigger number,bat ra _j2000_,bat dec _j2000_,bat 90_ error radius _arcmin_,bat t90 _sec_,bat fluence _15_150 kev_ _10__7 erg_cm_2_,bat fluence 90_ error _15_150 kev_ _10__7 erg_cm_2_,bat 1_sec peak photon flux _15_150 kev_ _ph_cm_2_sec_,bat 1_sec peak photon flux 90_ error _15_150 kev_ _ph_cm_2_sec_,bat photon index _15_150 kev_ _pl _ simple power_law_ cpl _ cutoff power_law_,bat photon index 90_ error _15_150 kev_,hardness ratio,epeak,satellite_source,grb_class
240205B,22:13:06,1213095,351.466,-55.123,1.0,47.29,260,0.0,47.8,1.0,"2.23, PL",0.03,0.21817169,0.0,Swift BAT,
240204A,15:07:50.63,1212898,104.29,1.078,1.2,18.93,100,0.0,22.1,1.5,"1.21, CPL",0.28,0.71620005,321.0,Swift BAT,
240123A,11:05:46,1210276,199.287,60.607,2.1,115.30,16,2.0,1.1,0.3,"1.69, PL",0.23,0.41035467,0.0,Swift BAT,
240109A,04:01:35,1207446,301.33,16.566,2.5,0.16,0.12,0.04,0.7,0.2,"2.75, PL",0.35,0.11819919,0.0,Swift BAT,
240102A,17:34:55,1205899,96.848,-20.011,2.4,119.00,8.5,1.3,0.4,0.1,"2.00, PL",0.22,0.2857143,0.0,Swift BAT,
240101B,20:25:39,1205744,352.147,51.646,2.2,43.1,4.6,0.8,0.5,0.1,"1.70, PL",0.26,0.4056016,0.0,Swift BAT,
231230A,01:29:08,1205319,245.223,58.132,1.1,15.2,21,1.0,2.2,0.4,"1.28, PL",0.10,0.6605173,0.0,Swift BAT,
231216A,18:35:42,1202749,39.778,33.614,2.0,51.2,10,1.0,1.8,0.3,"1.63, PL",0.20,0.44004846,0.0,Swift BAT,
231215A,09:47:25,1202522,9.73,57.634,1.3,20.75,100,10.0,9.6,1.4,"1.01, PL",0.09,0.9020432,0.0,Swift BAT,
231214A,20:24:28,1202386,305.666,-72.432,1.1,27.8,96,3.0,11.3,0.6,"0.87, CPL",0.23,1.0596285,287.0,Swift BAT,
231210B,21:29:04,1201696,95.803,-48.335,1.8,7.47,14,2.0,3.9,0.7,"1.08, PL",0.19,0.8321463,0.0,Swift BAT,
231205B,16:43:59,1200812,54.151,27.15,1.0,46.94,74,2.0,7.1,0.4,"1.38, PL",0.05,0.588296,0.0,Swift BAT,
231129A,05:05:59,1199764,317.541,41.53,1,105.46,130,0.0,4.8,0.3,"1.35, CPL",0.17,0.609104,335.0,Swift BAT,
