Common_Key,fluence_channel_1,error_fluence_channel_1,fluence_channel_2,error_fluence_channel_2,fluence_channel_3,error_fluence_channel_3,fluence_channel_4,error_fluence_channel_4,epeak,epeak_error,alpha,alpha_error,beta,beta_error,amplitude,amplitude_error,peak_flux_64ms,error_peak_flux_64ms,time_peak_flux_64ms,peak_flux_256ms,error_peak_flux_256ms,time_peak_flux_256ms,peak_flux_1024ms,error_peak_flux_1024ms,time_peak_flux_1024ms,T50,T50 Uncertainty,T50 Start Time,T90,T90 Uncertainty,T90 Start Time
105,8.685e-07,1.0887e-08,1.3209e-06,1.4368e-08,2.0468e-06,1.7931e-07,1.0321e-06,1.7931e-07,131.1,2.64,-0.4977,0.0655,-2.983,0.103,0.1637,0.0125,12.761,0.544,3.84,11.857,0.265,3.84,9.937,0.123,4.16,1.792,0.202,2.304,5.184,0.181,0.512
108,8.2861e-09,6.0599e-09,1.4947e-08,5.2203e-09,3.1987e-08,1.2363e-08,1.4604e-06,4.2317e-07,3536.0,5.22,-1.026,1.13,-2.103,52.8,0.0005495,0.000369,0.812,0.238,0.0,0.439,0.107,0.128,0.112,0.048,0.768,1.28,1.574,-0.96,3.136,0.59,-1.536
109,4.4255e-06,3.9649e-08,7.308e-06,4.9525e-08,1.7653e-05,1.2098e-07,2.9537e-05,9.0307e-07,636.1,113.0,-0.9459,0.0609,-1.851,0.12,0.01945,0.000945,3.777,0.354,34.368,3.62,0.173,34.56,3.35,0.084,35.072,47.104,0.143,14.912,90.176,0.286,4.224
110,4.5034e-07,3.6621e-08,4.6726e-07,4.0653e-08,1.7766e-06,1.4014e-07,4.0053e-07,7.0827e-07,283.5,157.0,-1.396,0.291,-4.104,64.5,0.00308,0.0008,0.475,0.218,0.0,0.478,0.107,0.192,0.367,0.052,0.32,306.368,3.304,-196.096,430.016,1.094,-259.584
111,1.111e-06,3.3433e-08,1.8851e-06,4.5079e-08,2.022e-06,8.8778e-08,0.0,4.3962e-07,93.78,12.4,-0.3506,0.793,-2.713,0.365,0.02286,0.0239,0.774,0.257,2.624,0.649,0.124,2.816,0.589,0.061,2.88,41.728,0.63,2.88,98.176,2.262,-14.848
130,3.1859e-06,3.0566e-08,4.885e-06,3.7336e-08,1.3484e-05,1.0646e-07,1.7184e-05,7.932e-07,337.9,35.6,-0.9832,0.0743,-2.324,0.18,0.02395,0.00151,3.926,0.369,12.096,3.468,0.178,12.16,2.816,0.083,12.224,33.792,0.143,12.928,61.952,0.5,2.816
138,6.7073e-09,2.2032e-09,1.7829e-08,3.0396e-09,5.8935e-08,7.4537e-09,5.276e-08,6.3551e-08,297.2,150.0,-0.04891,0.936,-2.73,2.75,0.001993,0.00138,1.107,0.253,0.256,0.722,0.114,0.32,0.364,0.052,0.32,0.218,0.009,0.006,0.315,0.023,-0.045
143,5.7236e-06,3.4374e-08,7.5901e-06,4.308e-08,4.562e-05,1.3972e-07,0.00023324,1.2379e-06,711.5,15.0,-0.5359,0.0123,-2.09,0.0305,0.2789,0.00213,52.008,1.426,1.28,47.569,0.682,1.344,37.634,0.301,2.88,6.72,0.143,2.112,50.816,0.202,1.024
160,5.1678e-07,1.9274e-08,8.3949e-07,1.7863e-08,3.0642e-06,5.3497e-08,4.3976e-07,2.2696e-07,209.2,14.0,-0.3812,0.145,-3.022,0.493,0.02722,0.00359,4.21,0.411,13.952,3.0,0.188,15.744,2.584,0.089,13.952,8.384,0.405,6.016,17.024,1.374,0.064
171,4.336e-07,3.2945e-08,4.4697e-07,2.7846e-08,7.8429e-07,5.1413e-08,1.7973e-07,2.5061e-07,125.6,20.6,-1.029,0.539,-3.193,1.77,0.008672,0.0048,1.077,0.329,0.704,0.646,0.157,0.768,0.602,0.078,1.472,12.864,0.41,1.664,24.768,4.401,-1.92
179,2.5648e-07,7.7966e-09,2.7782e-07,9.7845e-09,5.0439e-07,1.9354e-08,7.5724e-08,1.3397e-07,182.3,8.9,-0.6944,0.104,-4.795,6.67,0.02396,0.00241,5.249,0.369,1.984,4.736,0.178,2.048,2.5,0.071,2.304,3.2,0.202,1.536,7.232,0.181,-0.192
204,1.4705e-08,6.5476e-09,5.5198e-08,8.2568e-09,5.3717e-07,2.2567e-08,1.4911e-06,2.2728e-07,453.8,68.8,0.5105,0.34,-2.954,1.07,0.003737,0.000553,0.708,0.233,1.152,0.674,0.114,1.024,0.513,0.056,1.344,20.288,4.544,0.896,62.656,1.548,-0.64
207,4.0862e-09,1.8969e-09,8.4507e-09,2.1974e-09,5.8126e-08,6.0817e-09,3.3352e-07,1.1754e-07,1022.0,9.6,-0.7274,2.19,-1.129,0.408,0.0004696,0.000736,2.836,0.371,0.0,1.025,0.151,0.128,0.198,0.067,0.768,0.042,0.005,-0.024,0.085,0.003,-0.028
211,3.6627e-07,2.5008e-08,3.9705e-07,2.7062e-08,7.5491e-07,5.3728e-08,0.0,4.3362e-07,449.3,138.0,-0.6819,0.241,-7.629,3.79,0.004068,0.00068,0.7,0.242,2.176,0.507,0.116,2.24,0.466,0.057,2.944,203.84,4.299,-184.32,292.736,1.28,-239.616
218,1.1181e-08,5.512e-09,3.5093e-08,6.4808e-09,1.2263e-07,1.3115e-08,3.4937e-07,1.2767e-07,315.6,76.7,-0.3009,0.367,-3.034,2.21,0.004429,0.00121,0.978,0.246,0.512,0.868,0.12,-0.128,0.665,0.057,0.32,0.597,0.092,-0.512,1.173,0.069,-0.704
219,3.0342e-06,5.3143e-08,4.2219e-06,4.0734e-08,1.0534e-05,8.7486e-08,1.4797e-05,7.2386e-07,266.4,7.62,-0.7186,0.0338,-2.346,0.0414,0.1209,0.00368,20.133,0.637,115.2,18.063,0.302,115.264,13.069,0.13,115.328,6.272,0.231,113.408,29.696,1.414,108.416
222,7.8081e-07,2.3233e-08,1.0401e-06,2.5256e-08,2.7646e-06,6.8917e-08,2.5434e-06,5.118e-07,284.8,35.5,-1.234,0.0778,-2.491,0.33,0.02057,0.00147,4.538,0.364,68.544,3.99,0.174,68.672,3.005,0.08,68.736,57.024,0.389,11.136,73.088,0.466,0.512
226,2.1662e-06,4.2974e-08,3.2057e-06,3.4072e-08,9.4294e-06,8.3599e-08,2.4648e-05,1.3041e-06,527.6,77.3,-0.8341,0.0844,-4.249,16.0,0.009772,0.000586,1.307,0.238,47.232,1.298,0.118,30.4,1.09,0.058,47.232,61.44,0.32,28.288,221.184,0.466,4.608
235,1.513e-07,1.6989e-08,2.1635e-07,1.812e-08,9.7628e-07,6.5089e-08,1.6195e-06,3.5283e-07,319.4,176.0,-0.5741,0.541,-1.873,0.35,0.004109,0.0019,0.719,0.244,1.536,0.552,0.121,1.664,0.405,0.058,2.432,10.304,0.551,0.512,26.432,3.057,-4.608
237,6.7389e-08,1.2327e-08,8.2897e-08,1.4072e-08,3.8104e-07,2.7795e-08,3.8164e-07,2.955e-07,362.4,66.2,-0.5616,0.222,-6.349,245.0,0.005179,0.000796,0.967,0.252,-0.128,0.825,0.123,-0.064,0.639,0.061,0.768,30.208,0.547,0.576,40.512,3.529,-0.768
249,6.4429e-06,3.6007e-08,1.2132e-05,3.7487e-08,4.2087e-05,8.5406e-08,8.9605e-05,5.371e-07,580.6,9.52,-0.7349,0.0106,-2.758,0.0806,0.2078,0.00146,35.696,0.814,21.312,34.621,0.403,21.376,31.66,0.19,22.08,6.656,0.143,19.264,28.544,0.854,11.712
254,1.1875e-08,1.6056e-08,1.5741e-08,1.4111e-08,1.5703e-07,6.0678e-07,1.0978e-06,6.0678e-07,660.4,272.0,-0.1909,0.457,-4.883,85.2,0.001512,0.000296,1.545,0.272,0.0,1.319,0.131,0.064,0.483,0.057,0.512,0.192,0.091,-0.128,0.384,0.707,-0.256
257,7.9986e-07,1.8309e-08,1.2911e-06,2.5601e-08,4.1876e-06,6.2867e-08,3.0458e-05,9.1037e-07,679.8,3.56,-1.494,26.4,-1.498,7.65,0.009492,0.713,1.866,0.287,1.088,1.711,0.141,1.28,1.493,0.069,1.28,28.48,1.096,5.44,80.832,4.16,0.832
288,3.0921e-07,2.4349e-08,3.1707e-07,2.1023e-08,5.4802e-07,1.1593e-06,4.2687e-06,1.1593e-06,134.7,41.9,-0.4724,0.823,-2.419,0.564,0.007596,0.00758,0.659,0.204,-1.408,0.519,0.101,-1.216,0.397,0.05,-1.024,21.44,4.871,1.664,41.152,6.464,-1.984
297,1.4867e-08,3.9478e-09,3.3207e-08,3.0735e-09,1.553e-07,7.8882e-09,8.6784e-07,1.0177e-07,494.0,194.0,-0.414,0.311,-1.765,0.247,0.00351,0.000755,2.979,0.316,0.256,2.19,0.142,0.256,0.8,0.055,0.32,0.32,0.091,-0.064,0.96,0.091,-0.704
298,1.3681e-07,5.6766e-09,2.4541e-07,6.5185e-09,1.1921e-06,1.6566e-08,4.7116e-06,1.1955e-07,996.5,316.0,-1.084,0.0641,-5.409,390.0,0.01265,0.000639,56.127,1.224,0.0,22.047,0.385,0.128,6.175,0.114,0.704,0.111,0.064,-0.128,0.455,0.065,-0.128
332,5.1098e-07,1.6855e-08,8.879e-07,1.7012e-08,1.9133e-06,5.0136e-08,7.095e-07,3.029e-07,158.6,7.67,0.08868,0.183,-3.33,0.528,0.03915,0.00741,1.238,0.225,3.264,1.188,0.11,3.072,1.127,0.054,3.264,13.76,0.59,4.096,50.624,4.418,0.768
351,3.6229e-06,6.4732e-08,3.799e-06,5.7367e-08,9.1375e-06,1.5328e-07,1.8439e-05,1.4465e-06,363.9,68.5,-1.165,0.0895,-2.571,0.731,0.009952,0.000835,1.45,0.258,41.792,1.226,0.126,41.92,1.22,0.062,42.24,52.352,1.223,12.096,146.944,4.017,-57.856
373,3.2774e-09,6.6443e-09,1.0944e-08,8.1095e-09,2.0065e-07,1.7344e-08,6.1125e-08,1.0108e-07,314.5,77.3,0.1354,0.543,-2.762,1.23,0.00389,0.00138,1.089,0.267,0.0,0.644,0.129,0.128,0.523,0.063,0.128,0.768,0.091,-0.832,1.536,0.091,-1.408
394,5.9717e-06,5.6132e-08,6.8778e-06,4.6539e-08,2.434e-05,1.4209e-07,3.4792e-05,1.2239e-06,310.7,28.1,-0.8409,0.0639,-1.973,0.062,0.03182,0.00203,5.105,0.376,23.232,4.777,0.181,23.296,4.056,0.086,23.616,36.992,0.405,16.192,106.112,2.057,-7.168
404,7.2018e-07,2.1901e-08,1.001e-06,2.507e-08,1.8912e-06,4.552e-08,1.6119e-06,5.1256e-07,173.3,21.8,-0.6107,0.22,-2.437,0.273,0.0145,0.00358,1.218,0.23,34.112,1.006,0.111,34.24,0.827,0.054,34.944,29.568,0.41,5.184,123.392,3.36,-53.76
408,9.7329e-07,3.2542e-08,1.8275e-06,4.1373e-08,3.0124e-06,1.0178e-07,6.2688e-07,6.3294e-07,152.5,16.4,-0.717,0.234,-3.439,1.98,0.01241,0.00321,1.575,0.269,0.64,1.435,0.131,23.104,1.208,0.063,23.168,35.456,0.842,22.592,85.44,3.105,0.064
444,1.8878e-07,6.9883e-09,2.5921e-07,7.4834e-09,5.823e-07,1.6244e-08,4.7278e-07,1.0593e-07,248.6,25.7,-1.281,0.0662,-2.768,0.572,0.01965,0.00131,28.559,0.768,0.064,16.597,0.3,0.128,4.368,0.092,0.32,0.128,0.091,-0.064,0.256,0.091,-0.128
451,3.0934e-06,3.1095e-08,4.2095e-06,3.6739e-08,7.0203e-06,8.0691e-08,6.935e-06,5.0757e-07,110.3,2.69,-1.212,0.054,-2.639,0.0635,0.1423,0.00957,17.457,0.947,5.632,16.923,0.467,5.696,15.386,0.225,5.952,3.072,0.181,4.224,15.168,2.369,0.512
465,8.7162e-08,1.8716e-08,6.1648e-08,1.4299e-08,2.3565e-07,4.3579e-08,0.0,2.791e-07,405.7,298.0,-0.8384,0.474,-7.629,1.2,0.001643,0.000641,0.315,0.216,0.768,0.309,0.105,0.768,0.244,0.052,-0.192,4.864,0.802,-1.216,13.824,2.572,-2.048
467,2.5973e-07,1.0524e-08,4.7777e-07,1.4907e-08,2.0835e-06,3.5647e-08,3.9194e-06,2.4044e-07,349.6,25.6,-0.5703,0.0777,-2.598,0.249,0.02203,0.00135,8.998,0.514,0.32,7.729,0.242,0.448,4.376,0.097,1.024,8.832,0.466,0.64,37.696,3.777,0.128
469,4.371e-07,1.5368e-08,6.2964e-07,1.8639e-08,2.673e-06,3.7598e-08,6.9479e-06,3.8578e-07,616.8,63.2,-0.8184,0.0551,-2.251,0.196,0.02018,0.000706,4.424,0.4,2.688,4.222,0.198,2.688,3.82,0.095,3.264,3.968,0.202,2.496,15.424,1.286,0.448
480,1.1837e-08,1.7601e-09,1.6031e-08,1.9099e-09,1.145e-07,7.2916e-09,1.0105e-06,1.1838e-07,150.5,80.2,1.184,2.67,-1.675,0.153,0.01676,0.0502,6.625,0.465,0.0,1.945,0.161,0.128,0.514,0.066,0.896,0.019,0.004,-0.042,0.067,0.018,-0.051
486,9.6414e-09,3.3339e-09,1.3888e-08,2.7498e-09,6.5324e-08,7.3057e-09,0.0,4.6022e-08,244.1,92.6,0.141,0.947,-3.14,4.32,0.003153,0.00242,1.554,0.25,-0.256,1.088,0.117,-0.128,0.372,0.052,0.576,0.128,0.091,-0.32,0.32,0.066,-0.448
491,1.2483e-09,1.4025e-09,3.3176e-09,1.673e-09,2.689e-08,4.7219e-09,1.1517e-06,1.6608e-07,672.3,1.13,-1.332,381.0,-1.361,0.229,0.0005548,0.543,0.612,0.271,0.0,0.386,0.122,0.128,0.114,0.054,0.192,0.039,0.012,-0.014,0.1,0.059,-0.023
493,1.7028e-07,1.2693e-08,1.8204e-07,1.3574e-08,3.2496e-07,2.5336e-08,0.0,3.1244e-07,128.8,19.3,-0.807,0.312,-2.403,0.232,0.01586,0.00625,1.283,0.249,0.576,1.096,0.121,0.704,0.952,0.06,1.152,1.472,0.272,0.256,4.864,1.581,-0.768
501,1.3824e-07,7.4931e-09,1.5032e-07,8.0585e-09,3.6058e-07,2.5701e-08,0.0,1.0169e-07,118.9,10.4,-0.6318,0.293,-3.033,0.571,0.01943,0.00686,1.147,0.238,0.256,1.099,0.118,0.256,0.923,0.057,0.768,4.992,0.59,0.448,33.728,1.988,-0.448
503,6.5872e-08,6.6339e-09,1.4035e-07,7.5318e-09,6.3985e-07,1.8881e-08,4.9223e-06,2.3699e-07,825.8,172.0,-0.5894,0.0943,-1.709,0.133,0.009489,0.000548,5.209,0.449,0.128,5.055,0.217,0.192,3.048,0.089,0.896,31.744,5.312,0.192,46.656,1.346,-0.064
508,1.1313e-08,5.8214e-09,0.0,7.447e-09,7.4761e-08,1.3279e-08,4.2405e-07,1.9342e-07,574.8,465.0,-0.6555,0.538,-1.991,0.802,0.001513,0.000486,0.728,0.216,-0.576,0.549,0.105,-0.384,0.308,0.05,-0.256,0.448,0.143,-0.896,0.896,0.373,-1.088
516,3.5412e-07,1.5128e-08,3.1985e-07,1.6734e-08,3.0207e-07,3.1988e-08,1.7449e-07,4.1221e-07,104.6,4.8,-0.4666,0.212,-7.152,127.0,0.02629,0.00687,0.935,0.221,0.0,0.775,0.111,0.384,0.696,0.054,0.896,3.52,0.345,-0.128,12.672,3.117,-3.52
543,6.0751e-07,1.0401e-08,1.3739e-06,1.4362e-08,3.0237e-06,3.2612e-08,2.7225e-06,1.9647e-07,326.9,11.0,-0.5352,0.0374,-2.821,0.173,0.05816,0.00184,11.158,0.507,1.152,10.556,0.249,1.216,9.145,0.118,1.28,2.176,0.143,0.768,4.864,0.202,0.192
547,8.1305e-09,2.4365e-09,3.2055e-08,3.2273e-09,1.8662e-07,1.0367e-08,3.2394e-07,6.7299e-08,336.1,105.0,0.0415,0.498,-1.986,0.364,0.004444,0.00162,2.936,0.327,0.064,2.692,0.156,0.128,0.889,0.061,0.256,0.256,0.091,-0.128,0.512,0.091,-0.32
548,7.9023e-07,1.8742e-08,1.3811e-06,2.5636e-08,3.2488e-06,5.2366e-08,7.2472e-07,3.2598e-07,242.0,11.3,-0.3137,0.102,-9.137,1.14,0.02196,0.00185,2.202,0.283,5.504,1.996,0.139,5.504,1.825,0.068,5.76,13.696,0.286,5.44,36.224,0.898,0.96
549,7.1425e-08,1.7272e-08,1.1292e-07,2.2066e-08,2.2612e-07,3.7854e-08,9.4081e-07,4.5933e-07,435.4,384.0,-1.347,0.3,-2.262,1.33,0.002754,0.000684,0.53,0.238,-0.384,0.334,0.117,0.128,0.265,0.057,0.448,9.792,0.781,-0.96,14.4,2.807,-2.048
551,1.6367e-08,4.2097e-09,4.0115e-08,4.4448e-09,2.1869e-07,1.0505e-08,7.3939e-07,7.5909e-08,1011.0,880.0,-0.8758,0.243,-6.093,2.39,0.003172,0.000517,5.573,0.426,0.128,3.669,0.188,0.192,1.073,0.074,0.704,0.115,0.006,-0.016,0.25,0.109,-0.044
555,1.1592e-08,5.3293e-09,1.1859e-08,5.5764e-09,8.3777e-08,1.2206e-08,5.2441e-07,1.8644e-07,706.8,688.0,-0.7473,0.477,-2.035,1.27,0.001547,0.000441,1.623,0.293,0.0,1.306,0.141,0.192,0.372,0.057,0.896,1.92,0.202,0.0,4.16,0.453,-0.064
559,7.6018e-08,3.6277e-08,2.2902e-07,4.0535e-08,4.4758e-07,1.162e-07,9.9871e-06,2.4488e-06,108.1,79.9,1.388,4.85,-1.898,0.386,0.02823,0.188,0.475,0.234,-0.128,0.404,0.113,-0.128,0.227,0.054,0.128,19.968,1.846,-18.944,34.176,4.296,-27.136
563,8.0567e-07,2.7167e-08,1.2353e-06,2.8785e-08,3.033e-06,7.9039e-08,1.5831e-06,4.5933e-07,284.1,14.1,0.2819,0.13,-3.653,0.908,0.02388,0.00219,2.131,0.29,2.048,1.886,0.143,1.28,1.819,0.07,2.048,8.64,0.528,2.368,22.528,1.473,0.32
568,6.3392e-09,2.1779e-09,8.6291e-09,2.0734e-09,9.5281e-08,8.1475e-09,7.6674e-07,1.3584e-07,250.1,273.0,-0.6616,1.15,-1.923,0.694,0.001993,0.00231,2.647,0.406,0.0,1.43,0.176,0.128,0.375,0.078,0.832,0.058,0.012,-0.027,0.119,0.045,-0.051
575,1.1033e-08,3.2848e-09,4.3898e-08,5.4633e-09,2.0245e-07,1.2936e-08,1.6743e-07,6.0689e-08,316.2,108.0,-0.5249,0.393,-2.588,1.32,0.003797,0.00123,3.708,0.465,0.32,2.75,0.215,0.448,1.065,0.089,0.576,0.27,0.021,0.064,0.413,0.022,0.0
594,2.4101e-07,1.7144e-08,5.0578e-07,1.632e-08,1.9638e-06,4.4519e-08,2.2161e-06,4.1234e-07,331.2,30.3,0.1493,0.199,-3.389,1.21,0.009267,0.00118,1.052,0.216,25.28,0.872,0.104,25.408,0.737,0.051,12.224,13.888,0.41,3.968,26.88,0.286,-1.536
606,3.6091e-07,1.8349e-08,4.9968e-07,1.88e-08,1.3476e-06,4.4713e-08,9.2233e-07,4.0824e-07,456.2,75.2,-0.8365,0.112,-3.717,6.36,0.007765,0.000632,1.204,0.247,1.344,1.052,0.121,1.344,0.987,0.059,2.048,8.576,0.272,2.112,20.736,0.373,0.0
647,1.6534e-06,2.4392e-08,4.0873e-06,3.5369e-08,1.0965e-05,7.5707e-08,4.1372e-06,3.1641e-07,235.9,4.76,0.5644,0.0766,-3.748,0.318,0.1024,0.00592,7.154,0.529,3.2,7.07,0.261,3.328,6.557,0.127,3.712,16.832,0.231,4.928,59.584,0.58,1.536
658,3.7951e-07,1.5537e-08,5.6758e-07,2.3401e-08,9.765e-07,5.3729e-08,1.0797e-06,5.402e-07,140.5,43.0,-1.639,0.158,-2.23,0.284,0.009889,0.00201,1.209,0.304,0.256,1.281,0.149,0.64,1.084,0.073,1.216,6.016,0.373,0.128,20.672,1.684,-1.856
659,2.5676e-06,3.1221e-08,2.269e-06,2.5388e-08,2.2171e-06,6.5224e-08,5.509e-07,3.3286e-07,55.7,2.74,-0.3585,0.531,-3.3,0.271,0.1041,0.0885,1.196,0.236,1.984,1.029,0.116,2.176,0.98,0.057,2.624,33.28,0.405,10.304,102.08,2.146,-23.296
660,3.6088e-07,1.0371e-08,6.1663e-07,1.5263e-08,2.0218e-06,3.5691e-08,4.3502e-06,3.3361e-07,375.3,45.1,-0.9091,0.069,-2.007,0.0994,0.02062,0.00132,4.746,0.393,3.584,4.551,0.194,3.712,3.231,0.085,4.16,5.504,0.202,1.984,20.16,0.834,0.384
676,1.7075e-06,2.8096e-08,2.39e-06,3.1478e-08,1.2682e-05,7.7205e-08,2.5087e-05,6.1144e-07,404.2,16.4,-0.4947,0.0416,-2.982,0.285,0.03721,0.00114,4.408,0.384,60.032,4.199,0.188,60.096,4.077,0.091,51.52,18.432,0.264,41.216,77.824,1.175,-4.608
677,3.9611e-09,1.31e-09,1.139e-08,1.3542e-09,9.8344e-08,4.9536e-09,1.5001e-06,1.4576e-07,491.4,133.0,0.3182,0.533,-5.029,37.4,0.002007,0.000467,6.21,0.44,0.064,1.873,0.151,0.128,0.487,0.06,0.96,0.03,0.003,0.004,0.055,0.008,-0.01
678,2.4411e-06,2.5991e-08,3.3157e-06,2.7649e-08,1.7347e-05,7.5388e-08,0.00022764,1.5568e-06,1864.0,301.0,-0.2534,0.0379,-2.514,1.57,0.02755,0.000837,6.738,0.533,1.6,6.176,0.255,1.664,5.825,0.12,2.368,20.544,0.202,3.776,53.888,0.707,0.896
680,2.0266e-07,1.8096e-08,2.4638e-07,1.1847e-08,3.095e-07,2.2909e-08,4.4951e-08,1.1801e-07,107.6,12.5,0.9893,0.862,-2.395,0.148,0.0968,0.108,0.876,0.213,1.28,0.814,0.106,1.28,0.793,0.052,1.984,2.88,0.286,0.896,10.944,1.012,-0.896
685,3.5222e-07,3.1927e-08,3.1021e-07,2.5267e-08,1.2106e-07,4.5884e-08,4.2096e-07,3.2525e-07,146.2,50.8,-1.509,0.312,-2.659,1.57,0.004388,0.00155,1.143,0.258,0.0,0.956,0.126,0.0,0.673,0.06,0.576,15.68,1.741,-4.16,72.512,2.187,-34.88
686,2.1518e-07,2.6413e-08,1.7556e-07,2.1345e-08,5.7561e-07,6.636e-08,1.2817e-06,5.6466e-07,291.0,77.7,-0.8329,0.266,-3.365,4.8,0.005623,0.00129,1.11,0.285,0.256,0.93,0.138,0.0,0.818,0.068,0.64,4.992,0.231,0.576,11.136,0.73,-0.32
690,3.4259e-08,1.5408e-08,5.2255e-08,1.8655e-08,9.4795e-08,3.3401e-08,3.6663e-08,1.8909e-07,131.0,85.7,-0.8188,1.39,-2.452,1.19,0.002987,0.00512,0.661,0.214,2.432,0.41,0.103,2.496,0.221,0.05,2.496,2.112,0.32,-0.192,3.2,0.373,-0.768
692,7.1579e-07,4.3124e-08,1.2891e-06,5.568e-08,1.6319e-06,1.208e-07,7.0183e-07,7.4721e-07,125.5,7.17,0.003575,0.271,-3.405,0.664,0.04023,0.0126,1.531,0.277,0.896,1.31,0.135,0.896,1.195,0.066,1.216,5.76,0.181,-0.256,62.528,1.741,-43.008
704,3.0997e-07,2.0926e-08,5.3795e-07,2.659e-08,1.9194e-06,6.9376e-08,1.7792e-06,7.0572e-07,578.1,183.0,-0.7447,0.167,-2.271,0.806,0.005445,0.00065,1.415,0.289,0.128,1.369,0.143,0.256,1.177,0.069,0.96,22.784,0.792,3.008,45.888,2.883,0.128
729,2.999e-09,1.4686e-09,3.6999e-09,2.1466e-09,4.3709e-08,5.6884e-09,5.2321e-07,9.8589e-08,157.7,1.28,0.5287,17.5,-1.064,0.172,0.002209,0.0527,1.616,0.328,0.0,0.607,0.146,0.192,0.174,0.065,0.512,0.063,0.022,-0.014,0.183,0.031,-0.032
734,2.9184e-09,1.1964e-08,1.1927e-08,1.5382e-08,1.324e-07,4.1701e-08,7.3552e-07,3.7769e-07,879.1,924.0,-0.7284,0.371,-5.379,941.0,0.001574,0.000396,1.008,0.23,0.064,0.894,0.116,0.192,0.476,0.053,0.64,0.448,0.091,-0.064,1.792,0.231,-0.32
741,9.5357e-08,2.3009e-08,6.8739e-08,2.4098e-08,3.4182e-07,6.0689e-08,8.8697e-07,7.5795e-07,1121.0,2.81,-1.035,0.47,-4.464,762.0,0.001345,0.000483,0.391,0.224,-1.92,0.326,0.108,2.176,0.216,0.053,-0.064,5.376,0.634,-1.408,12.48,2.211,-3.584
752,1.0298e-07,1.305e-08,1.3524e-07,1.5599e-08,2.9301e-07,2.947e-08,1.9343e-07,2.6241e-07,280.0,58.1,-1.086,0.158,-9.207,3.12,0.006571,0.000968,1.114,0.24,1.024,0.826,0.117,1.216,0.815,0.057,1.472,1.792,0.264,0.512,5.44,0.516,-0.256
761,2.1954e-06,3.6868e-08,4.1183e-06,5.3324e-08,1.1683e-05,1.2254e-07,1.5457e-05,1.0155e-06,481.2,43.3,-0.8198,0.0539,-6.906,488.0,0.02036,0.000842,3.588,0.377,2.944,3.208,0.183,3.008,2.821,0.088,3.584,40.128,0.286,12.224,81.472,1.105,0.192
764,4.0468e-07,3.298e-08,7.0873e-07,2.6635e-08,1.2186e-06,5.8504e-08,0.0,3.25e-07,85.19,8.74,0.6824,0.851,-2.536,0.152,0.1539,0.192,1.107,0.251,1.408,0.97,0.123,0.192,0.94,0.061,0.896,7.808,0.362,0.448,20.8,1.319,-3.648
773,5.9837e-07,1.7319e-08,6.4521e-07,1.7485e-08,1.3298e-06,5.6708e-08,3.063e-08,2.6741e-07,92.6,5.32,-0.4291,0.315,-3.223,0.493,0.03681,0.0154,0.966,0.235,0.256,0.899,0.117,0.32,0.699,0.056,17.216,20.672,0.543,-0.512,60.992,2.111,-35.84
788,1.7202e-08,4.1214e-09,2.6698e-08,3.3537e-09,4.0281e-08,7.2842e-09,5.8796e-08,4.8138e-08,46.23,113.0,-0.372,19.1,-2.071,0.222,0.02521,0.953,2.331,0.289,0.064,1.365,0.131,0.192,0.381,0.057,0.896,0.091,0.009,-0.02,0.303,0.027,-0.096
795,5.4184e-07,1.8549e-08,6.4367e-07,2.4264e-08,1.2623e-06,5.4741e-08,1.176e-06,3.4683e-07,169.4,52.5,-1.639,0.152,-2.364,0.544,0.007472,0.0013,1.353,0.266,2.432,1.115,0.129,2.432,0.982,0.064,3.136,21.312,1.105,3.072,58.432,1.506,-0.192
803,1.2867e-07,1.8061e-08,2.7363e-07,2.0753e-08,7.96e-07,4.9419e-08,5.3411e-07,3.2665e-07,190.0,27.7,-0.319,0.307,-2.402,0.308,0.01417,0.00447,1.327,0.275,1.152,1.18,0.136,1.152,1.059,0.066,1.856,4.416,0.345,1.088,7.232,0.345,0.064
815,6.9655e-07,3.3865e-08,6.4012e-07,3.9138e-08,7.7324e-07,9.2333e-08,1.75e-07,5.8674e-07,81.51,14.5,-1.522,0.314,-3.055,2.1,0.006599,0.00276,0.836,0.269,3.264,0.654,0.13,2.752,0.564,0.065,3.52,10.24,1.042,-6.656,25.408,2.485,-10.752
816,1.7816e-06,5.5415e-08,6.7937e-07,5.0132e-08,6.429e-07,1.5826e-07,0.0,1.0334e-06,46.55,4.12,0.1393,1.03,-4.006,0.594,0.2739,0.467,0.434,0.246,13.952,0.329,0.117,11.968,0.284,0.058,12.096,23.808,2.064,-10.752,90.944,3.238,-69.12
820,1.5737e-07,2.9828e-08,2.1112e-07,2.7921e-08,1.7333e-06,8.1287e-08,2.6145e-06,6.3439e-07,300.8,125.0,-0.106,0.619,-1.818,0.279,0.004086,0.00208,0.793,0.221,-1.92,0.555,0.107,0.192,0.455,0.053,0.64,16.384,0.453,1.408,31.68,2.146,-5.632
825,4.0404e-07,2.8802e-08,3.7567e-07,2.3764e-08,9.6466e-07,6.782e-08,1.7372e-06,5.6685e-07,574.9,1.21,-1.56,0.34,-9.126,7.85,0.001891,0.000567,0.529,0.222,22.144,0.411,0.109,-1.28,0.321,0.054,-0.064,22.272,0.773,0.512,74.88,3.035,-25.088
