Common_Key,fluence_channel_1,error_fluence_channel_1,fluence_channel_2,error_fluence_channel_2,fluence_channel_3,error_fluence_channel_3,fluence_channel_4,error_fluence_channel_4,epeak,epeak_error,alpha,alpha_error,beta,beta_error,amplitude,amplitude_error,peak_flux_64ms,error_peak_flux_64ms,time_peak_flux_64ms,peak_flux_256ms,error_peak_flux_256ms,time_peak_flux_256ms,peak_flux_1024ms,error_peak_flux_1024ms,time_peak_flux_1024ms,T50,T50 Uncertainty,T50 Start Time,T90,T90 Uncertainty,T90 Start Time
3144,3.9626e-08,2.557e-08,8.4497e-08,2.7326e-08,3.2017e-07,7.1167e-08,1.8638e-06,1.2306e-06,178.0,50.3,-0.6821,0.609,-9.537,2.13,0.003316,0.00199,0.431,0.204,-0.576,0.363,0.1,-0.512,0.27,0.049,-0.128,3.456,0.916,-0.576,6.656,2.515,-1.28
3146,4.8315e-08,2.2421e-08,1.4031e-07,2.5318e-08,3.9558e-07,7.2375e-08,1.8799e-06,1.0857e-06,79.39,60.3,0.6438,4.0,-1.833,0.18,0.05738,0.383,0.99,0.273,-0.64,0.852,0.133,-0.512,0.556,0.063,-0.256,1.323,0.072,-0.832,1.963,0.763,-1.088
3153,4.0141e-07,2.2764e-08,3.9626e-07,2.656e-08,4.7997e-07,7.8643e-08,4.704e-06,2.1245e-06,98.9,12.5,-0.0622,0.699,-2.979,0.715,0.02744,0.0255,0.802,0.243,2.304,0.747,0.119,2.304,0.707,0.059,3.072,14.656,0.5,0.96,32.032,3.226,-3.584
3155,2.4165e-07,2.5318e-08,2.6085e-07,2.2782e-08,9.3309e-07,7.3376e-08,4.1605e-06,1.5343e-06,317.0,51.7,-0.7886,0.143,-9.537,2.62,0.008362,0.00105,1.919,0.258,0.768,1.846,0.128,0.832,1.599,0.062,1.28,1.28,0.091,0.448,4.928,2.691,-0.96
3156,2.3597e-06,6.8064e-08,1.9186e-06,7.4039e-08,2.9906e-06,1.9116e-07,2.4801e-06,2.6028e-06,55.34,7.74,-1.127,0.387,-5.19,16.4,0.01681,0.00923,0.644,0.215,91.008,0.558,0.105,91.072,0.432,0.052,91.52,197.408,1.056,-109.568,300.0,1.319,-192.512
3166,2.1952e-07,1.8317e-08,2.8087e-07,2.195e-08,4.3181e-07,5.8438e-08,0.0,6.5274e-07,62.5,21.3,-0.2119,2.25,-2.261,0.162,0.05271,0.206,0.861,0.249,1.088,0.638,0.119,0.064,0.534,0.059,0.768,2.112,0.231,0.128,5.504,0.73,-0.576
3168,3.3365e-07,3.5609e-08,2.4273e-07,3.0854e-08,8.9341e-07,8.3666e-08,9.9642e-07,1.146e-06,167.5,49.9,-0.6168,0.558,-2.392,0.578,0.006459,0.004,0.656,0.212,0.448,0.507,0.103,-0.32,0.408,0.051,0.0,6.592,0.429,-1.536,18.08,1.073,-7.168
3171,2.6401e-07,3.8628e-08,6.7171e-07,4.3252e-08,3.2972e-06,1.202e-07,1.3177e-05,1.7385e-06,917.0,465.0,-0.1204,0.348,-3.617,22.4,0.002078,0.00035,0.963,0.277,5.696,0.613,0.134,4.864,0.497,0.065,5.696,34.112,0.466,5.568,57.216,0.979,-0.064
3173,3.2156e-08,2.0624e-09,6.3283e-08,2.7071e-09,3.3855e-07,8.9633e-09,2.51e-06,1.897e-07,837.6,520.0,-1.18,0.142,-9.136,1.08,0.004992,0.000544,14.904,0.581,0.128,6.33,0.202,0.192,1.67,0.067,0.768,0.088,0.011,0.025,0.208,0.025,-0.047
3174,3.8936e-07,3.8617e-08,5.7916e-07,3.2376e-08,8.1413e-07,8.8656e-08,5.9634e-06,1.6618e-06,160.0,41.9,-0.2671,0.73,-2.705,1.03,0.007812,0.0061,0.663,0.232,0.768,0.515,0.112,0.832,0.439,0.055,-0.128,9.664,0.362,-0.896,20.128,1.361,-5.12
3177,3.8365e-07,1.8672e-08,3.6824e-07,1.4537e-08,1.0333e-06,4.2284e-08,5.811e-07,3.8584e-07,194.9,31.7,-1.024,0.15,-2.253,0.236,0.01883,0.00328,2.933,0.258,0.384,2.703,0.127,0.448,2.1,0.06,0.96,2.176,0.202,0.0,6.688,2.233,-3.264
3178,2.5812e-06,2.382e-08,3.3291e-06,2.6499e-08,1.6749e-05,8.1031e-08,7.6679e-05,1.1201e-06,767.1,41.6,-0.9383,0.0177,-2.176,0.102,0.07952,0.00107,14.583,0.425,8.128,14.335,0.211,8.192,12.019,0.097,8.64,6.144,0.143,7.296,39.936,4.352,2.752
3212,1.0336e-06,3.6686e-08,1.531e-06,3.7025e-08,3.7553e-06,9.2984e-08,4.0772e-06,9.1819e-07,199.6,18.2,-1.074,0.102,-2.879,0.607,0.01841,0.00194,2.222,0.214,1.344,2.02,0.104,1.536,1.915,0.051,2.176,11.808,1.042,-4.096,83.424,2.521,-59.392
