trigger number,t50,t50 uncertainty,t50 start time,t90,t90 uncertainty,t90 start time,epeak,epeak_error,alpha,alpha_error,beta,beta_error,amplitude,amplitude_error,fluence_channel_1,error_fluence_channel_1,fluence_channel_2,error_fluence_channel_2,fluence_channel_3,error_fluence_channel_3,fluence_channel_4,error_fluence_channel_4,gal_long,gal_lat,error_radius_gal,ra,dec,error_radius_ra_dec,hr1,hr2,hr3,peak_flux_64ms,error_peak_flux_64ms,time_peak_flux_64ms,peak_flux_256ms,error_peak_flux_256ms,time_peak_flux_256ms,peak_flux_1024ms,error_peak_flux_1024ms,time_peak_flux_1024ms,satellite_source,grb_class
105,0.04130697113153254,0.1386276558690352,0.5151515151515151,5.184,0.181,0.512,0.16382300096104294,0.010344121261777962,0.49400951325059905,0.03914717626925271,0.5949785607273853,0.014289219850123639,1.0,0.8974058332111975,0.41663718384925263,0.17922205631063495,0.46268367213350187,0.23059595851569195,0.2693133089563649,1.0,0.09189118804818033,0.09168984882550786,0.6339997688662892,0.14068546927638725,0.6162843774962912,0.38479713813671945,0.7516474350062561,0.6162843774962912,0.4666314198847816,0.18651951173207462,0.07154958586156995,1.0,1.0,0.3515625,1.0,1.0,0.3262955854126679,1.0,1.0,0.3243243243243243,CGRO BATSE,1.0
108,0.029425415390327673,1.0,0.32196969696969696,3.136,0.59,-1.536,1.0,0.02355591970503892,0.3050677729694932,0.7982030804335424,0.7768249212171306,1.0,0.0014390943984535437,0.008427377986223072,0.003975011363377423,0.09571091731115274,0.005235621808902607,0.07431568761644955,0.0042087770244221435,0.061236939459322404,0.13002411687391002,0.22936293874970182,0.22853345660464577,0.860066263886182,0.5927193883373274,0.8223866889808336,0.5587654664256917,0.5927193883373274,0.5534491500985421,0.25759550334316894,1.0,0.061359918516003586,0.25312499999999993,0.1171875,0.02199450137465634,0.2141623488773748,0.1036468330134357,0.0,0.19672131147540983,0.1121121121121121,CGRO BATSE,1.0
109,1.0,0.0975269940787182,1.0,90.176,0.286,4.224,0.8671950081479729,0.5754813600983204,0.33371481706662853,0.03586708499714775,0.8288991062664668,0.017498159578685092,0.2712764324735648,0.05063754946504471,1.0,0.6768184143523385,1.0,0.8312218518008527,1.0,0.760182186378106,1.0,0.5002942758062945,0.35935513694672366,0.6369407244480331,0.38160447335387426,0.025828396294560352,0.2528569442513555,0.38160447335387426,0.5066523415950112,0.2907627611086455,0.23741525253763882,0.4274205994012161,0.6156249999999999,1.0,0.4763094940550577,0.6701208981001727,1.0,0.6000463284688441,0.7868852459016392,1.0,CGRO BATSE,1.0
110,1.0,1.0,0.0,430.016,1.094,-259.584,0.376088137387356,0.8007988529291274,0.17274060298272598,0.19994295493439815,0.3633310946944257,1.0,0.03756636002629773,0.040011725047633014,0.21603729346536837,0.6244325659360157,0.16367141542970712,0.6796516687583307,0.23376100483285023,0.8834758782584186,0.035660476260960826,0.3903183965426474,0.6398358950652953,0.23835509647242256,0.34548670546616456,0.23426568029718275,0.9331016265813986,0.34548670546616456,0.3183405349416598,0.45766726985692463,0.03198940390452052,0.01975369610173153,0.19062499999999996,0.1171875,0.027564537437069308,0.2141623488773748,0.10748560460652591,0.0472550382209868,0.262295081967213,0.08408408408408408,CGRO BATSE,2.0
111,0.9680683189455119,0.4367816091954023,0.5492424242424243,98.176,2.262,-14.848,0.11184311322200093,0.06032363785333881,0.5466185043453381,0.5579007415858528,0.6507723304231027,0.06374464390207073,0.31996008226251904,1.0,0.5329693854421643,0.5692786409851447,0.6603111441735668,0.7552659192256664,0.2660501811167529,0.5529638426448169,0.0,0.2386499162337213,0.3781925343811394,0.6114653228276304,0.31136597055802806,0.927142253648038,0.20984290282218826,0.31136597055802806,0.5205880503829218,0.12911168814735102,0.0,0.05666841569184234,0.31249999999999994,0.27734375,0.051987003249187716,0.3316062176165803,0.2648752399232246,0.08839471855455176,0.4098360655737704,0.2442442442442442,CGRO BATSE,1.0
130,0.7839042049568365,0.0975269940787182,1.0,61.952,0.5,2.816,0.45185731994373024,0.17912740680049163,0.3203748077679625,0.04542213348545351,0.7311566875032288,0.02882382920890198,0.3355217181188123,0.09204162391909719,1.0,0.5196781695817108,1.0,0.6229836911713102,1.0,0.6667466745773682,1.0,0.43826629913947257,0.5067028776147001,0.6305370715817024,0.6684354673057172,0.7147654741262952,0.37661615459474496,0.6684354673057172,0.4704422178249736,0.3322561111109919,0.18082824809205003,0.44581622889595357,0.6624999999999999,0.85546875,0.45460063555539687,0.7046632124352331,0.8253358925143953,0.5010887190178364,0.7704918032786884,0.8288288288288288,CGRO BATSE,1.0
138,0.004780469692750394,0.004179728317659352,0.37914299242424243,0.315,0.023,-0.045,0.39516971461203115,0.76495288816059,0.6545152176245485,0.6598687963491158,0.6472593893681872,0.513940011703192,0.02204755436043461,0.08251502271727978,0.0032176287659552013,0.02898816249370479,0.0062451261946159485,0.03706037898696039,0.007754533839819896,0.02964582664366385,0.0046973927733959826,0.026337190675197134,0.34467814630763893,0.6691538825625749,0.4846513750998517,0.47082081691876865,0.31733629917975814,0.4846513750998517,0.815554735752693,0.39789190594113377,0.12702589209174178,0.0977807957035711,0.29999999999999993,0.1328125,0.0624129681865248,0.2625215889464595,0.11516314779270634,0.04669909659485754,0.262295081967213,0.08408408408408408,CGRO BATSE,1.0
143,0.15566694514062937,0.0975269940787182,0.5037878787878788,50.816,0.202,1.024,0.9722133236764768,0.07363785333879559,0.4803476270519652,0.0012122076440387907,0.7795112879061837,0.000604035713611567,1.0,0.13747618349699547,1.0,0.5855583911039557,1.0,0.7211147925459999,1.0,0.8807731981650089,1.0,0.6893251980539689,0.7147810008089679,0.4783528691149039,0.5284149263950702,0.2945150432439729,0.24217989712220217,0.5284149263950702,0.4068666408609038,0.7234800916456304,0.7254517061026378,1.0,1.0,0.1953125,1.0,1.0,0.1765834932821497,1.0,1.0,0.2442442442442442,CGRO BATSE,1.0
160,0.19428200129954515,0.28004179728317663,0.7348484848484849,17.024,1.374,0.064,0.27260191930024935,0.06851700122900452,0.5356746897464325,0.09583571021106672,0.5869194606602263,0.08790607244653342,0.3822066256876922,0.2444672431481753,0.2479099180997315,0.3243211681559784,0.29405580734298853,0.29030490686258265,0.4031804970217379,0.3259322798457927,0.03915324954565234,0.11859103284456732,0.23159597827343112,0.9868585906395301,0.32311993609494466,0.6053376799174723,0.8319199221465313,0.32311993609494466,0.49840649150679567,0.4393598657164077,0.02036382566204088,0.48087903947652705,0.7937499999999998,0.96875,0.38776020280644125,0.7737478411053541,1.0,0.45809589993050726,0.8688524590163932,0.9369369369369368,CGRO BATSE,1.0
171,0.29824561403508776,0.2835249042145594,0.47727272727272724,24.768,4.401,-1.92,0.15616251375405657,0.10231462515362558,0.3039948499696005,0.376782658300057,0.5515834065196052,0.3289540744096495,0.1174018349881253,0.33313791587278324,0.20800677365231543,0.560836007554773,0.1565642523533283,0.46085553099620497,0.10319510215037493,0.31252183862039756,0.016001940924231614,0.13194282722128833,0.7120073962787472,0.2661970654564691,0.39586899463654,0.12716361235868395,0.9423050187682469,0.39586899463654,0.31627361451516983,0.2112112780584972,0.03251656426193448,0.09407697768449644,0.5375,0.16015624999999997,0.05155853893669441,0.5595854922279794,0.1420345489443378,0.0908037989344452,0.6885245901639343,0.15615615615615613,CGRO BATSE,1.0
179,0.07398124941984592,0.1386276558690352,0.46969696969696967,7.232,0.181,-0.192,0.23513517277880697,0.04240065546907006,0.4236615285576339,0.0666001140901312,0.22054037299168253,1.0,0.3356644854202462,0.15799501685475598,0.12303869304969063,0.12575665804583833,0.0973145414430536,0.15229096144903284,0.06636649399281849,0.10622369310938838,0.006741951674993127,0.06609279355952345,0.8278053854154628,0.2409443995879389,0.6740842177336528,0.09120681628394033,0.7399694147087447,0.6740842177336528,0.33234095426607657,0.21853538249632237,0.021302365588364593,0.6091546035371461,0.6624999999999999,0.23828125,0.6356982183025672,0.7046632124352331,0.21880998080614203,0.4425295343988881,0.5737704918032784,0.20820820820820818,CGRO BATSE,1.0
204,0.4705281722825583,1.0,0.4318181818181818,62.656,1.548,-0.64,0.6132846776327703,0.3491396968455551,0.8545831694145417,0.23488305761551626,0.6009712248798883,0.19682126205711917,0.04694617173050387,0.02191118276417998,0.007054288760510374,0.10414836059802218,0.019334706135532623,0.12619157364086547,0.07067961216146694,0.12689919582397313,0.13275743677806576,0.11877169137313184,0.775049115913556,0.470055962357658,0.6492068926166839,0.45065611752778856,0.31483386625886284,0.6492068926166839,1.0,1.0,0.39387260438040617,0.04852001604987807,0.2375,0.1875,0.05555753918663193,0.2625215889464595,0.15738963531669867,0.07431086402594395,0.32786885245901637,0.14814814814814814,CGRO BATSE,1.0
207,0.0006961849067112226,0.0013932427725531174,0.37736742424242425,0.085,0.003,-0.028,1.0,0.04598525194592381,0.411859375558814,1.0,0.9780957793046443,0.07186137380372616,0.00029838365999681576,0.03532170599443061,0.001960233575871982,0.023689025977879263,0.0029601036475876935,0.022672145425372013,0.007648087451826102,0.020817071671858596,0.029694360079284082,0.056817107233539256,0.9579336646249854,0.31316646713255564,0.6453269428277987,0.14246846345583938,0.7938273321284582,0.6453269428277987,0.6345223523772913,0.8279355958280195,0.8141645697909444,0.31124417420290745,0.6687499999999998,0.1171875,0.10568786374834864,0.5181347150259068,0.1036468330134357,0.015936993282372018,0.5081967213114753,0.1121121121121121,CGRO BATSE,0.0
211,1.0,1.0,0.0,292.736,1.28,-239.616,0.6070170062815996,0.7035026628430971,0.42813204105718683,0.16428978893325727,0.0,0.7102516186269515,0.051671769407965404,0.031217939322878505,0.1757071978450959,0.42352211096284603,0.13907831934333179,0.44746159236846184,0.09932934828231846,0.3274187538971681,0.0,0.23526256882313668,0.4229169074309488,0.013475512988278532,0.6271254136711172,0.6221398656255284,0.6914222160433756,0.6271254136711172,0.33259652892114,0.22885941303720037,0.0,0.0475323312447915,0.26562499999999994,0.25,0.0317063591245046,0.27633851468048365,0.23032629558541268,0.06560111188325227,0.3442622950819672,0.24824824824824823,CGRO BATSE,2.0
218,0.013575605680868838,0.06199930337861372,0.34848484848484845,1.173,0.069,-0.704,0.4207975263590401,0.3895944285129046,0.5643932620435607,0.25413576725613235,0.5844397375626388,0.41200898503124006,0.0568256689897286,0.0700571596072109,0.005363754004166371,0.08623198522815957,0.012292344693906415,0.09585020246373302,0.01613537770046855,0.06607602381704655,0.03110553664217882,0.06253607877840961,0.2914596093840286,0.9024138987109168,0.6344288485678421,0.8855016673514309,0.6014458501320729,0.6344288485678421,0.9629721108992179,0.4206249535836634,0.40424963478138554,0.08185437822155005,0.27812499999999996,0.1484375,0.08326489806119898,0.30397236614853196,0.08829174664107485,0.10247857308315961,0.3442622950819672,0.08408408408408408,CGRO BATSE,1.0
219,0.14527058386707511,0.1588296760710554,1.0,29.696,1.414,108.416,0.35227098625290754,0.03584596476853749,0.4150066163584994,0.016543069024529376,0.7266105284909851,0.0026615323631009684,1.0,0.25106258244174123,1.0,0.9102710690847893,1.0,0.6810354812951256,1.0,0.5446498838812801,1.0,0.39911985423114976,0.19686813821795904,0.755965141854832,0.48459431701472094,0.5086242515181,0.3819546781593216,0.48459431701472094,0.42691124943645054,0.30033377394974514,0.19931551879711612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,CGRO BATSE,1.0
222,1.0,0.26889585510275166,1.0,73.088,0.466,0.512,0.3778987979999165,0.17861532158951254,0.23067844497693216,0.04791785510553336,0.6966472077284702,0.05713800328444421,0.2872663702341598,0.08911036201084568,0.3745705003124179,0.392813761907703,0.36432529895227145,0.4166076980295535,0.3637598074754575,0.4251592489895515,0.2264470959032476,0.2793997055830542,0.49300820524673516,0.5965698694211655,0.5172885997945909,0.794552124338844,0.2965104963158627,0.5172885997945909,0.40869901418031235,0.3199455020924239,0.13053985256766193,0.5213741164850767,0.6468749999999999,1.0,0.529153425929232,0.6770293609671848,1.0,0.5361130414639795,0.7213114754098359,1.0,CGRO BATSE,1.0
